"","файл","год","сегментаций","расшифровка","русский","английский","спеллер","просмотр"
"1","kpv_izva19580000CypanovDM",NA,"готов","готов","готов","готов","нет","нет"
"2","kpv_izva19590000IgushevJA",NA,"готов","готов","","есть","",""
"3","kpv_izva20000321ChuprovII",NA,"готов","готов","готов","почти готов","нет","нет"
"4","kpv_izva20090222SaamiKomi_Video1",NA,"готов","готов","???","нет","нет","нет"
"5","kpv_izva20090222SaamiKomi_Video2",NA,"готов","готов","готов","незаконченный","нет","нет"
"6","kpv_izva20090223ArtievAS_Kuvaksa",NA,"готов","готов","готов","готов","нет","нет"
"7","kpv_izva20090225Oshjas_ELAN",NA,"готов","готов","готов","готов","нет","нет"
"8","kpv_izva20110812Saranpaul-1",NA,"готов","готов","готов","готов","нет","нет"
"9","kpv_izva20120111VVF",NA,"готов","готов","готов","готов","нет","нет"
"10","kpv_izva20140323-1teacher",NA,"неготов","","","","",""
"11","kpv_izva20140324-1businessman-b",NA,"готов","готов","готов","готов","нет","нет"
"12","kpv_izva20140325-1sadik1",NA,"неготов","","","","",""
"13","kpv_izva20140325-2narty",NA,"Готов","","","","",""
"14","kpv_izva20140325-3sledges",NA,"готов","готов","готов","незаконченный","нет","нет"
"15","kpv_izva20140330-1FMV1",NA,"готов","готов","готов","готов","нет","нет"
"16","kpv_izva20140404IgushevJA",NA,"готов","скоро готов","","","",""
