"","файл","год","сегментаций","расшифровка","русский","английский","спеллер","просмотр","видео?"
"1","kpv_izva19580000CypanovDM",NA,"готов","готов","готов","готов",NA,NA,"нет"
"2","kpv_izva19590000IgushevJA",NA,"готов","готов","","есть",NA,NA,"нет"
"3","kpv_izva20000321ChuprovII",NA,"готов","готов","готов","почти готов",NA,NA,"нет"
"4","kpv_izva20090222SaamiKomi_Video1",NA,"готов","готов","текст почти на русском","",NA,NA,"готов"
"5","kpv_izva20090222SaamiKomi_Video2",NA,"готов","готов","готов","незаконченный",NA,NA,"готов"
"6","kpv_izva20090223ArtievAS_Kuvaksa",NA,"готов","надо просмотр","","",NA,NA,"готов"
"7","kpv_izva20090225Oshjas_ELAN",NA,"готов","готов","готов","готов",NA,NA,"нет"
"8","kpv_izva20110812Saranpaul-1",NA,"готов","готов","готов","готов",NA,NA,"нет"
"9","kpv_izva20120111VVF",NA,"готов","готов","готов","готов",NA,NA,"нет"
"10","kpv_izva20140323-1teacher",NA,"неготов","","","",NA,NA,"нет"
"11","kpv_izva20140324-1businessman-b",NA,"готов","готов","готов","готов",NA,NA,"технический проблем с эскпорт"
"12","kpv_izva20140325-1sadik1",NA,"неготов","","","",NA,NA,"готов"
"13","kpv_izva20140325-2narty",NA,"Готов","","","",NA,NA,"готов"
"14","kpv_izva20140325-3sledges",NA,"готов","готов","готов","незаконченный",NA,NA,"готов"
"15","kpv_izva20140330-1FMV1",NA,"готов","готов","готов","готов",NA,NA,"готов"
"16","kpv_izva20140404IgushevJA",NA,"готов","скоро готов","","",NA,NA,"готов"
