Name	lat	lon	var	bat
Выльгорт	61.6270011	50.7684768		TRUE
Керчомъя	61.4723127	53.9200777		TRUE
Кожмудор	62.1423639	50.2748651		TRUE
Мыёлдино	61.7673014	54.896512		TRUE
Аныб	61.8707241	53.0145474		TRUE
Нёбдино	61.9140788	52.1422916		TRUE
Сизябск	65.0652929	53.8575893		TRUE
Туръя	62.8233667	50.6431508		TRUE
Кобра	60.0417729	50.7922452		TRUE
Грива	60.582292	50.8821414	-ӧныс	TRUE
Ужга	60.5175552	51.0314053		TRUE
Ыб (Syktyvdin)	63.7481386	47.532636		TRUE
Айкино	62.2244834	49.9924109		TRUE
Богородск	62.259823	52.4863855		TRUE
Большая Слуда	62.009879	50.5731371		TRUE
Вожаёль	62.8450318	51.330762		TRUE
Гам	62.1186483	49.6880666		TRUE
Деревянск	61.7582483	53.3270038		TRUE
Дон	61.6383447	53.8955314		TRUE
Зеленец	61.8819411	50.744747		TRUE
Изваиль	63.0340061	54.4723322		TRUE
Канава	61.1181298	55.0368844		TRUE
Карвуджем	60.5780739	50.7850669		TRUE
Лопыдино	61.1382156	52.1360716		TRUE
Межадор	61.1532597	50.3367416		TRUE
Носим	61.707215	53.6297894		TRUE
Ношуль	60.1492473	49.4925223		TRUE
Онежье	62.7664587	50.6929677		TRUE
Пажга	61.3954778	50.5792812		TRUE
Палауз	60.7109534	50.2754901		TRUE
Палевицы	61.9939087	50.3670933		TRUE
Пожег	61.9812316	54.330793		TRUE
Половники	62.4849376	50.797883		TRUE
Руч	61.8140622	53.1827368		TRUE
Слудка	61.9527866	50.180272		TRUE
Усть-Илыч	62.5170513	56.7589718		TRUE
Часово	62.0118698	50.657876		TRUE
Читаево	60.4700536	49.5569357		TRUE
Шошка	62.6995954	50.695994		TRUE
Канава	61.1181298	55.0368844		TRUE
Куратово	60.8902513	49.7608006		TRUE
